Package	Version	Built
Biobase	2.70.0	4.5.3
BiocGenerics	0.56.0	4.5.2
BiocManager	1.30.27	4.5.3
BiocVersion	3.22.0	4.5.2
DelayedArray	0.36.1	4.5.3
EpiDISH	2.26.0	4.5.2
GGally	2.4.0	4.5.3
GenomicRanges	1.62.1	4.5.2
IRanges	2.44.0	4.5.2
MCMCpack	1.7-1	4.5.3
MatrixGenerics	1.22.0	4.5.2
MatrixModels	0.5-4	4.5.3
MuSiC	1.0.0	4.5.2
R6	2.6.1	4.5.3
RColorBrewer	1.1-3	4.5.2
S4Arrays	1.10.1	4.5.2
S4Vectors	0.48.1	4.5.3
S7	0.2.2	4.5.3
Seqinfo	1.0.0	4.5.2
SingleCellExperiment	1.32.0	4.5.2
SparseArray	1.10.10	4.5.3
SparseM	1.84-2	4.5.3
SummarizedExperiment	1.40.0	4.5.2
TOAST	1.24.0	4.5.2
XVector	0.50.0	4.5.2
abind	1.4-8	4.5.2
cli	3.6.6	4.5.3
coda	0.19-4.1	4.5.3
corpcor	1.6.10	4.5.2
cpp11	0.5.5	4.5.3
crayon	1.5.3	4.5.3
doParallel	1.0.17	4.5.3
dplyr	1.2.1	4.5.3
e1071	1.7-17	4.5.3
farver	2.1.2	4.5.3
forcats	1.0.1	4.5.3
foreach	1.5.2	4.5.3
generics	0.1.4	4.5.3
ggplot2	4.0.3	4.5.3
ggstats	0.14.0	4.5.3
glue	1.8.1	4.5.3
gtable	0.3.6	4.5.3
hms	1.1.4	4.5.3
isoband	0.3.0	4.5.3
iterators	1.0.14	4.5.3
jsonlite	2.0.0	4.5.3
labeling	0.4.3	4.5.2
lifecycle	1.0.5	4.5.3
limma	3.66.0	4.5.2
locfdr	1.1-8	4.5.2
magrittr	2.0.5	4.5.3
matrixStats	1.5.0	4.5.3
mcmc	0.9-8	4.5.3
nnls	1.6	4.5.2
patchwork	1.3.2	4.5.3
pillar	1.11.1	4.5.3
pkgconfig	2.0.3	4.5.3
prettyunits	1.2.0	4.5.3
progress	1.2.3	4.5.3
proxy	0.4-29	4.5.3
purrr	1.2.2	4.5.3
quadprog	1.5-8	4.5.2
quantreg	6.1	4.5.3
rlang	1.3.0	4.5.3
scales	1.4.0	4.5.3
statmod	1.5.2	4.5.3
stringi	1.8.9	4.5.3
stringr	1.6.0	4.5.3
tibble	3.3.1	4.5.3
tidyr	1.3.2	4.5.3
tidyselect	1.2.1	4.5.3
utf8	1.2.6	4.5.3
vctrs	0.7.3	4.5.3
viridisLite	0.4.3	4.5.3
withr	3.0.3	4.5.3
KernSmooth	2.23-26	4.5.2
MASS	7.3-65	4.5.2
Matrix	1.7-4	4.5.2
base	4.5.2	4.5.2
boot	1.3-32	4.5.2
class	7.3-23	4.5.2
cluster	2.1.8.1	4.5.2
codetools	0.2-20	4.5.2
compiler	4.5.2	4.5.2
datasets	4.5.2	4.5.2
foreign	0.8-90	4.5.2
grDevices	4.5.2	4.5.2
graphics	4.5.2	4.5.2
grid	4.5.2	4.5.2
lattice	0.22-7	4.5.2
methods	4.5.2	4.5.2
mgcv	1.9-3	4.5.2
nlme	3.1-168	4.5.2
nnet	7.3-20	4.5.2
parallel	4.5.2	4.5.2
rpart	4.1.24	4.5.2
spatial	7.3-18	4.5.2
splines	4.5.2	4.5.2
stats	4.5.2	4.5.2
stats4	4.5.2	4.5.2
survival	3.8-3	4.5.2
tcltk	4.5.2	4.5.2
tools	4.5.2	4.5.2
translations	4.5.2	4.5.2
utils	4.5.2	4.5.2
