Grouping,Output,B,Mean signed,Mean absolute,Median absolute,10th–90th percentiles,Positive/​168
Original,Weighted MuSiC,60,+0.621,0.708,0.751,−0.043 to +1.168,147/168
Original,Weighted MuSiC,120,+0.276,0.439,0.445,−0.345 to +0.739,125/168
Original,Weighted MuSiC,300,−0.066,0.402,0.321,−0.722 to +0.524,84/168
Original,Ordinary NNLS,60,+0.167,0.550,0.436,−0.708 to +0.944,100/168
Original,Ordinary NNLS,120,+0.066,0.634,0.492,−1.023 to +1.007,91/168
Original,Ordinary NNLS,300,−0.030,0.446,0.371,−0.715 to +0.704,77/168
Alternative,Weighted MuSiC,60,+0.602,0.688,0.739,−0.085 to +1.143,143/168
Alternative,Weighted MuSiC,300,−0.033,0.419,0.378,−0.769 to +0.605,81/168
Alternative,Ordinary NNLS,60,+0.184,0.635,0.544,−0.814 to +1.197,103/168
Alternative,Ordinary NNLS,300,+0.049,0.453,0.363,−0.584 to +0.852,86/168
