Participant,"Coverage
(%)",W I(60),W I(300),W Δ,N I(60),N I(300),N Δ
36TS,87.5,−0.0013,+0.0000,+0.0013,+0.0000,+0.0000,+0.0000
453W,90.9,−0.0022,+0.0004,+0.0025,−0.0158,+0.0000,+0.0158
4DUY,83.0,+0.0025,+0.0000,−0.0025,−0.0005,+0.0000,+0.0005
684C,89.6,−0.0010,+0.0069,+0.0079,−0.0517,−0.0007,+0.0511
925L,87.5,−0.0039,+0.0000,+0.0039,−0.0309,+0.0000,+0.0309
9JD4,93.5,+0.0000,+0.0000,+0.0000,−0.1428,−0.0599,+0.0829
CR3L,87.9,+0.0000,+0.0000,+0.0000,−0.3217,−0.0370,+0.2847
CYFZ,87.9,−0.0001,+0.0000,+0.0001,−0.1861,−0.0531,+0.1330
CZJE,92.9,+0.0000,+0.0000,+0.0000,−0.1615,−0.0645,+0.0969
FLWA,87.9,+0.0000,+0.0000,+0.0000,−0.0184,−0.0004,+0.0179
FY2H,92.4,−0.0092,+0.0008,+0.0100,+0.0000,+0.0000,+0.0000
G4YW,93.4,+0.0000,+0.0000,+0.0000,−0.0220,−0.0011,+0.0209
