Output,Donor,20:20:20,30:15:15,40:10:10,50:5:5
Weighted,101,5.138,5.191,5.358,5.867
Weighted,1015,5.604,5.641,5.893,6.468
Weighted,1016,6.220,6.337,6.543,7.065
Weighted,1244,5.790,5.844,5.949,6.400
Weighted,1256,5.666,5.765,5.928,6.454
Weighted,1488,5.384,5.404,5.499,5.914
Ordinary,101,9.324,9.380,9.371,9.431
Ordinary,1015,8.693,8.669,8.694,8.984
Ordinary,1016,10.061,10.122,9.865,9.871
Ordinary,1244,8.841,8.828,8.791,8.907
Ordinary,1256,8.832,8.833,9.044,9.221
Ordinary,1488,8.908,8.988,9.118,8.950
