Donor,I(60),I(120),I(300),I(300)−I(60)
HC-502,+0.962,+0.484,−0.047,−1.009
IGTB256,+0.845,+0.458,−0.013,−0.858
IGTB514,+0.861,+0.657,+0.370,−0.490
IGTB1506,+0.655,+0.094,−0.388,−1.043
IGTB508,+0.829,+0.406,+0.049,−0.780
IGTB1650,+0.972,+0.517,+0.243,−0.729
IGTB195,+0.780,+0.280,−0.203,−0.983
IGTB1913,+0.955,+0.722,+0.443,−0.511
HC-572,+0.059,−0.009,−0.130,−0.189
HC-014,−0.434,−0.346,−0.216,+0.218
IGTB1921,+0.855,+0.302,−0.191,−1.045
IGTB826,+0.446,−0.048,−0.706,−1.152
IGTB1966,+0.224,−0.087,−0.073,−0.297
IGTB498,+0.690,+0.425,−0.062,−0.752
