Output,B,Allocation,RMSE,Conditional SD
Weighted MuSiC,60,1:1:1,6.803,1.627
Weighted MuSiC,60,2:1:1,6.865,1.648
Weighted MuSiC,60,4:1:1,7.014,1.758
Weighted MuSiC,60,10:1:1,7.516,1.877
Weighted MuSiC,120,1:1:1,6.643,1.460
Weighted MuSiC,120,2:1:1,6.706,1.496
Weighted MuSiC,120,4:1:1,6.749,1.598
Weighted MuSiC,120,10:1:1,6.988,1.746
Weighted MuSiC,300,1:1:1,6.833,1.190
Weighted MuSiC,300,2:1:1,6.829,1.186
Weighted MuSiC,300,4:1:1,6.736,1.271
Weighted MuSiC,300,10:1:1,6.714,1.504
Ordinary NNLS,60,1:1:1,10.908,3.496
Ordinary NNLS,60,2:1:1,10.961,3.750
Ordinary NNLS,60,4:1:1,10.951,4.269
Ordinary NNLS,60,10:1:1,11.044,4.997
Ordinary NNLS,120,1:1:1,10.968,2.566
Ordinary NNLS,120,2:1:1,11.015,2.828
Ordinary NNLS,120,4:1:1,10.960,3.241
Ordinary NNLS,120,10:1:1,11.001,4.156
Ordinary NNLS,300,1:1:1,11.118,1.902
Ordinary NNLS,300,2:1:1,11.132,1.853
Ordinary NNLS,300,4:1:1,11.096,2.022
Ordinary NNLS,300,10:1:1,11.045,2.902
