source,method,budget,arrangements,signed_mean_pp,signed_median_pp,mean_absolute_pp,median_absolute_pp,signed_q10_pp,signed_q50_pp,signed_q90_pp,signed_minimum_pp,signed_maximum_pp,signed_q90_minus_q10_pp,positive,negative,ties,held_out_donors,arrangements_per_donor,unit
alternative_grouping,music_nnls,60,168,0.18392475513467837,0.22688065628975934,0.6351223889176807,0.5442712908530368,-0.8144062159649993,0.22688065628975934,1.1972398259584767,-2.3029251746571515,1.9157667223486003,2.011646041923476,103,65,0,14,12,percentage points
alternative_grouping,music_nnls,300,168,0.04945711893876476,0.00905692261063595,0.4533899216287553,0.3631440422437638,-0.5837741778544137,0.00905692261063595,0.852330051101359,-1.9404455097214537,1.7322188215375525,1.4361042289557726,86,82,0,14,12,percentage points
alternative_grouping,music_weighted,60,168,0.6020429888872963,0.7206182090751362,0.6880881858317008,0.7392141449826111,-0.08468664562868393,0.7206182090751362,1.1427296289386533,-1.0175896310789578,1.4241115400703757,1.2274162745673372,143,25,0,14,12,percentage points
alternative_grouping,music_weighted,300,168,-0.032631657716547885,-0.0110776068132757,0.4193681341863701,0.37849167246186155,-0.7685067842728038,-0.0110776068132757,0.6047291297415335,-1.2432130357907594,1.1649364725095628,1.3732359140143373,81,87,0,14,12,percentage points
original_grouping,music_nnls,60,168,0.16748300875928418,0.16410921386204136,0.5503331366659083,0.43649791804062255,-0.7078447492343236,0.16410921386204136,0.9438074372795788,-1.6678228981443683,1.9157667223486003,1.6516521865139024,100,68,0,14,12,percentage points
original_grouping,music_nnls,120,168,0.06604592112293033,0.0797392887523268,0.6342511177728417,0.49240972687860474,-1.0229547805562658,0.0797392887523268,1.0066090350722943,-2.249844019883222,2.823597560456238,2.02956381562856,91,77,0,14,12,percentage points
original_grouping,music_nnls,300,168,-0.030046009304967564,-0.047372937740472146,0.44568440481168536,0.37052227426275053,-0.7151694919702932,-0.047372937740472146,0.7042261238537469,-1.5070369145795717,1.4547548217480155,1.4193956158240402,77,91,0,14,12,percentage points
original_grouping,music_weighted,60,168,0.6211959101358727,0.7384665544090647,0.7082266147938096,0.7510265166006003,-0.042938527198355024,0.7384665544090647,1.1677131213065437,-1.0175896310789578,1.474672948644819,1.2106516485048988,147,21,0,14,12,percentage points
original_grouping,music_weighted,120,168,0.2755290944530602,0.3778279289559371,0.439293498039256,0.44534419114014706,-0.3454693754840174,0.3778279289559371,0.7390781400380937,-1.0399510950129256,1.0467084028393772,1.0845475155221111,125,43,0,14,12,percentage points
original_grouping,music_weighted,300,168,-0.06599463606462523,0.0038175784462778496,0.40226074326963224,0.32055168741238094,-0.7223825202412806,0.00381757844627785,0.5240158827697039,-1.6821892789265351,1.1478424673171488,1.2463984030109845,84,84,0,14,12,percentage points
