panel,held_out,method,budget,level,mae_pp,summary
a,HC-502,music_weighted,60,balanced,4.630031615524588,donor
a,HC-502,music_weighted,60,ratio2,4.732726829881758,donor
a,HC-502,music_weighted,60,ratio4,5.015993381958859,donor
a,HC-502,music_weighted,60,ratio10,5.5916121072659,donor
a,IGTB256,music_weighted,60,balanced,4.4349809800361975,donor
a,IGTB256,music_weighted,60,ratio2,4.509391853586797,donor
a,IGTB256,music_weighted,60,ratio4,4.685577851203074,donor
a,IGTB256,music_weighted,60,ratio10,5.28006542483534,donor
a,IGTB514,music_weighted,60,balanced,4.347021797477353,donor
a,IGTB514,music_weighted,60,ratio2,4.42599261922426,donor
a,IGTB514,music_weighted,60,ratio4,4.629310100222325,donor
a,IGTB514,music_weighted,60,ratio10,5.2075625583517935,donor
a,IGTB1506,music_weighted,60,balanced,5.013879251071914,donor
a,IGTB1506,music_weighted,60,ratio2,5.0680929799373615,donor
a,IGTB1506,music_weighted,60,ratio4,5.204658755015109,donor
a,IGTB1506,music_weighted,60,ratio10,5.668414173376492,donor
a,IGTB508,music_weighted,60,balanced,4.545270362429765,donor
a,IGTB508,music_weighted,60,ratio2,4.631834664975663,donor
a,IGTB508,music_weighted,60,ratio4,4.760327357990744,donor
a,IGTB508,music_weighted,60,ratio10,5.374184385761816,donor
a,IGTB1650,music_weighted,60,balanced,4.634930414020865,donor
a,IGTB1650,music_weighted,60,ratio2,4.736460602227889,donor
a,IGTB1650,music_weighted,60,ratio4,4.913766208879025,donor
a,IGTB1650,music_weighted,60,ratio10,5.60654344663145,donor
a,IGTB195,music_weighted,60,balanced,4.721869681399416,donor
a,IGTB195,music_weighted,60,ratio2,4.819060049924942,donor
a,IGTB195,music_weighted,60,ratio4,5.04689091844456,donor
a,IGTB195,music_weighted,60,ratio10,5.502005496803864,donor
a,IGTB1913,music_weighted,60,balanced,5.0183627374246855,donor
a,IGTB1913,music_weighted,60,ratio2,5.092609537008108,donor
a,IGTB1913,music_weighted,60,ratio4,5.295479604127337,donor
a,IGTB1913,music_weighted,60,ratio10,5.973015058021303,donor
a,HC-572,music_weighted,60,balanced,6.372826621393149,donor
a,HC-572,music_weighted,60,ratio2,6.403764950587153,donor
a,HC-572,music_weighted,60,ratio4,6.390735816133576,donor
a,HC-572,music_weighted,60,ratio10,6.431662298366814,donor
a,HC-014,music_weighted,60,balanced,8.15467965824986,donor
a,HC-014,music_weighted,60,ratio2,8.182398929982787,donor
a,HC-014,music_weighted,60,ratio4,8.079209344497919,donor
a,HC-014,music_weighted,60,ratio10,7.721137848645848,donor
a,IGTB1921,music_weighted,60,balanced,4.5570690398843885,donor
a,IGTB1921,music_weighted,60,ratio2,4.613371984833835,donor
a,IGTB1921,music_weighted,60,ratio4,4.79042570698554,donor
a,IGTB1921,music_weighted,60,ratio10,5.411570030625274,donor
a,IGTB826,music_weighted,60,balanced,4.975863399330598,donor
a,IGTB826,music_weighted,60,ratio2,4.912021579649834,donor
a,IGTB826,music_weighted,60,ratio4,5.043887185298334,donor
a,IGTB826,music_weighted,60,ratio10,5.4213808892115045,donor
a,IGTB1966,music_weighted,60,balanced,7.858165693467263,donor
a,IGTB1966,music_weighted,60,ratio2,7.921205888467407,donor
a,IGTB1966,music_weighted,60,ratio4,7.858401317788885,donor
a,IGTB1966,music_weighted,60,ratio10,8.082167701649714,donor
a,IGTB498,music_weighted,60,balanced,4.790324798323665,donor
a,IGTB498,music_weighted,60,ratio2,4.858137093199517,donor
a,IGTB498,music_weighted,60,ratio4,5.006193615745932,donor
a,IGTB498,music_weighted,60,ratio10,5.480697372388814,donor
a,mean,music_weighted,60,balanced,5.289662575002408,mean
a,mean,music_weighted,60,ratio2,5.350504968820522,mean
a,mean,music_weighted,60,ratio4,5.480061226020801,mean
a,mean,music_weighted,60,ratio10,5.91085848513828,mean
b,HC-502,music_weighted,120,balanced,4.445394809207151,donor
b,HC-502,music_weighted,120,ratio2,4.477602095960391,donor
b,HC-502,music_weighted,120,ratio4,4.526811497541642,donor
b,HC-502,music_weighted,120,ratio10,4.9291575278427775,donor
b,IGTB256,music_weighted,120,balanced,4.204118678688959,donor
b,IGTB256,music_weighted,120,ratio2,4.263851369755886,donor
b,IGTB256,music_weighted,120,ratio4,4.359689080434918,donor
b,IGTB256,music_weighted,120,ratio10,4.662519048585713,donor
b,IGTB514,music_weighted,120,balanced,3.9361594126770263,donor
b,IGTB514,music_weighted,120,ratio2,4.029751235434579,donor
b,IGTB514,music_weighted,120,ratio4,4.186596692625603,donor
b,IGTB514,music_weighted,120,ratio10,4.593270701891313,donor
b,IGTB1506,music_weighted,120,balanced,5.120948418235236,donor
b,IGTB1506,music_weighted,120,ratio2,5.127221491270521,donor
b,IGTB1506,music_weighted,120,ratio4,5.040471146155997,donor
b,IGTB1506,music_weighted,120,ratio10,5.215362516875506,donor
b,IGTB508,music_weighted,120,balanced,4.303631115212965,donor
b,IGTB508,music_weighted,120,ratio2,4.36113931231169,donor
b,IGTB508,music_weighted,120,ratio4,4.43200213340648,donor
b,IGTB508,music_weighted,120,ratio10,4.7096472783780685,donor
b,IGTB1650,music_weighted,120,balanced,4.34319000127657,donor
b,IGTB1650,music_weighted,120,ratio2,4.442833066940696,donor
b,IGTB1650,music_weighted,120,ratio4,4.489465382393608,donor
