panel,method,held_out,summary,quantity,level,value_pp
a,music_weighted,101,donor,absolute_mae,20,5.1378217411600815
a,music_weighted,101,donor,absolute_mae,30,5.190771744999966
a,music_weighted,101,donor,absolute_mae,40,5.358223779748003
a,music_weighted,101,donor,absolute_mae,50,5.866830585295701
a,music_weighted,1015,donor,absolute_mae,20,5.603743356120205
a,music_weighted,1015,donor,absolute_mae,30,5.640888432551697
a,music_weighted,1015,donor,absolute_mae,40,5.893495986261661
a,music_weighted,1015,donor,absolute_mae,50,6.467831983825036
a,music_weighted,1016,donor,absolute_mae,20,6.220085053779973
a,music_weighted,1016,donor,absolute_mae,30,6.336585580286651
a,music_weighted,1016,donor,absolute_mae,40,6.542711165906708
a,music_weighted,1016,donor,absolute_mae,50,7.065251822906821
a,music_weighted,1244,donor,absolute_mae,20,5.790085939494697
a,music_weighted,1244,donor,absolute_mae,30,5.843922209692663
a,music_weighted,1244,donor,absolute_mae,40,5.948994939356159
a,music_weighted,1244,donor,absolute_mae,50,6.4004711120342215
a,music_weighted,1256,donor,absolute_mae,20,5.66578584712593
a,music_weighted,1256,donor,absolute_mae,30,5.764873335599424
a,music_weighted,1256,donor,absolute_mae,40,5.928433345871279
a,music_weighted,1256,donor,absolute_mae,50,6.4540009344389455
a,music_weighted,1488,donor,absolute_mae,20,5.383632382640236
a,music_weighted,1488,donor,absolute_mae,30,5.403782374889831
a,music_weighted,1488,donor,absolute_mae,40,5.498708804358335
a,music_weighted,1488,donor,absolute_mae,50,5.913875748040156
a,music_weighted,all,equal_donor_mean,absolute_mae,20,5.6335257200535205
a,music_weighted,all,equal_donor_mean,absolute_mae,30,5.696803946336705
a,music_weighted,all,equal_donor_mean,absolute_mae,40,5.8617613369170245
a,music_weighted,all,equal_donor_mean,absolute_mae,50,6.3613770310901465
c,music_weighted,101,donor,mae_minus_balanced,20,0.0
c,music_weighted,101,donor,mae_minus_balanced,30,0.05295000383988491
c,music_weighted,101,donor,mae_minus_balanced,40,0.2204020385879213
c,music_weighted,101,donor,mae_minus_balanced,50,0.7290088441356195
c,music_weighted,1015,donor,mae_minus_balanced,20,0.0
c,music_weighted,1015,donor,mae_minus_balanced,30,0.03714507643149201
c,music_weighted,1015,donor,mae_minus_balanced,40,0.28975263014145636
c,music_weighted,1015,donor,mae_minus_balanced,50,0.864088627704831
c,music_weighted,1016,donor,mae_minus_balanced,20,0.0
c,music_weighted,1016,donor,mae_minus_balanced,30,0.11650052650667853
c,music_weighted,1016,donor,mae_minus_balanced,40,0.3226261121267351
c,music_weighted,1016,donor,mae_minus_balanced,50,0.8451667691268483
c,music_weighted,1244,donor,mae_minus_balanced,20,0.0
c,music_weighted,1244,donor,mae_minus_balanced,30,0.05383627019796666
c,music_weighted,1244,donor,mae_minus_balanced,40,0.15890899986146234
c,music_weighted,1244,donor,mae_minus_balanced,50,0.6103851725395248
c,music_weighted,1256,donor,mae_minus_balanced,20,0.0
c,music_weighted,1256,donor,mae_minus_balanced,30,0.09908748847349447
c,music_weighted,1256,donor,mae_minus_balanced,40,0.2626474987453493
c,music_weighted,1256,donor,mae_minus_balanced,50,0.7882150873130156
c,music_weighted,1488,donor,mae_minus_balanced,20,0.0
c,music_weighted,1488,donor,mae_minus_balanced,30,0.02014999224959446
c,music_weighted,1488,donor,mae_minus_balanced,40,0.11507642171809884
c,music_weighted,1488,donor,mae_minus_balanced,50,0.5302433653999197
c,music_weighted,all,equal_donor_mean,mae_minus_balanced,20,0.0
c,music_weighted,all,equal_donor_mean,mae_minus_balanced,30,0.06327822628318518
c,music_weighted,all,equal_donor_mean,mae_minus_balanced,40,0.22823561686350388
c,music_weighted,all,equal_donor_mean,mae_minus_balanced,50,0.7278513110366265
b,music_nnls,101,donor,absolute_mae,20,9.32428881798477
b,music_nnls,101,donor,absolute_mae,30,9.379889888694938
b,music_nnls,101,donor,absolute_mae,40,9.371308939474964
b,music_nnls,101,donor,absolute_mae,50,9.430851529142574
b,music_nnls,1015,donor,absolute_mae,20,8.692984111192597
b,music_nnls,1015,donor,absolute_mae,30,8.668884101916749
b,music_nnls,1015,donor,absolute_mae,40,8.694272253267133
b,music_nnls,1015,donor,absolute_mae,50,8.984091836815706
b,music_nnls,1016,donor,absolute_mae,20,10.061199842456828
b,music_nnls,1016,donor,absolute_mae,30,10.122203742539176
b,music_nnls,1016,donor,absolute_mae,40,9.864713436361043
b,music_nnls,1016,donor,absolute_mae,50,9.87066608620492
b,music_nnls,1244,donor,absolute_mae,20,8.840773431546134
b,music_nnls,1244,donor,absolute_mae,30,8.827652523507796
b,music_nnls,1244,donor,absolute_mae,40,8.791170068398456
b,music_nnls,1244,donor,absolute_mae,50,8.907152674395945
b,music_nnls,1256,donor,absolute_mae,20,8.83249041160702
b,music_nnls,1256,donor,absolute_mae,30,8.83263706996198
b,music_nnls,1256,donor,absolute_mae,40,9.04382296591897
b,music_nnls,1256,donor,absolute_mae,50,9.220820538912896
b,music_nnls,1488,donor,absolute_mae,20,8.907973828422637
b,music_nnls,1488,donor,absolute_mae,30,8.988223258158214
b,music_nnls,1488,donor,absolute_mae,40,9.117733708834324
b,music_nnls,1488,donor,absolute_mae,50,8.950382570324573
b,music_nnls,all,equal_donor_mean,absolute_mae,20,9.109951740534997
b,music_nnls,all,equal_donor_mean,absolute_mae,30,9.136581764129808
b,music_nnls,all,equal_donor_mean,absolute_mae,40,9.147170228709149
b,music_nnls,all,equal_donor_mean,absolute_mae,50,9.227327539299436
d,music_nnls,101,donor,mae_minus_balanced,20,0.0
d,music_nnls,101,donor,mae_minus_balanced,30,0.05560107071016773
d,music_nnls,101,donor,mae_minus_balanced,40,0.047020121490193745
d,music_nnls,101,donor,mae_minus_balanced,50,0.10656271115780314
d,music_nnls,1015,donor,mae_minus_balanced,20,0.0
d,music_nnls,1015,donor,mae_minus_balanced,30,-0.024100009275848322
d,music_nnls,1015,donor,mae_minus_balanced,40,0.0012881420745358696
d,music_nnls,1015,donor,mae_minus_balanced,50,0.2911077256231085
d,music_nnls,1016,donor,mae_minus_balanced,20,0.0
d,music_nnls,1016,donor,mae_minus_balanced,30,0.061003900082347684
d,music_nnls,1016,donor,mae_minus_balanced,40,-0.19648640609578472
d,music_nnls,1016,donor,mae_minus_balanced,50,-0.1905337562519076
d,music_nnls,1244,donor,mae_minus_balanced,20,0.0
d,music_nnls,1244,donor,mae_minus_balanced,30,-0.013120908038338541
d,music_nnls,1244,donor,mae_minus_balanced,40,-0.049603363147678436
d,music_nnls,1244,donor,mae_minus_balanced,50,0.0663792428498109
d,music_nnls,1256,donor,mae_minus_balanced,20,0.0
d,music_nnls,1256,donor,mae_minus_balanced,30,0.00014665835495897284
d,music_nnls,1256,donor,mae_minus_balanced,40,0.21133255431194975
d,music_nnls,1256,donor,mae_minus_balanced,50,0.3883301273058759
d,music_nnls,1488,donor,mae_minus_balanced,20,0.0
d,music_nnls,1488,donor,mae_minus_balanced,30,0.08024942973557714
d,music_nnls,1488,donor,mae_minus_balanced,40,0.2097598804116867
d,music_nnls,1488,donor,mae_minus_balanced,50,0.04240874190193544
d,music_nnls,all,equal_donor_mean,mae_minus_balanced,20,0.0
d,music_nnls,all,equal_donor_mean,mae_minus_balanced,30,0.026630023594810776
d,music_nnls,all,equal_donor_mean,mae_minus_balanced,40,0.03721848817415049
d,music_nnls,all,equal_donor_mean,mae_minus_balanced,50,0.11737579876443771
