panel,series,donor,x,metric,value_raw,display_scale,value_plotted
a,individual_donor,HC-014,5,theta_variance_trace,0.00026675476358276664,1.0,0.00026675476358276664
a,individual_donor,HC-014,10,theta_variance_trace,0.00018122732762702312,1.0,0.00018122732762702312
a,individual_donor,HC-014,25,theta_variance_trace,4.476935214468144e-05,1.0,4.476935214468144e-05
a,individual_donor,HC-502,5,theta_variance_trace,0.00027912592874506666,1.0,0.00027912592874506666
a,individual_donor,HC-502,10,theta_variance_trace,0.00012180072868937461,1.0,0.00012180072868937461
a,individual_donor,HC-502,25,theta_variance_trace,4.504482461564584e-05,1.0,4.504482461564584e-05
a,individual_donor,HC-572,5,theta_variance_trace,0.0002440876182118667,1.0,0.0002440876182118667
a,individual_donor,HC-572,10,theta_variance_trace,0.00012306389763636465,1.0,0.00012306389763636465
a,individual_donor,HC-572,25,theta_variance_trace,4.486281321780712e-05,1.0,4.486281321780712e-05
a,individual_donor,IGTB1506,5,theta_variance_trace,0.0003075493978274833,1.0,0.0003075493978274833
a,individual_donor,IGTB1506,10,theta_variance_trace,0.00015639256676647947,1.0,0.00015639256676647947
a,individual_donor,IGTB1506,25,theta_variance_trace,4.664467839223814e-05,1.0,4.664467839223814e-05
a,individual_donor,IGTB1650,5,theta_variance_trace,0.00018526060290318335,1.0,0.00018526060290318335
a,individual_donor,IGTB1650,10,theta_variance_trace,0.00011588958366185261,1.0,0.00011588958366185261
a,individual_donor,IGTB1650,25,theta_variance_trace,4.510155234773442e-05,1.0,4.510155234773442e-05
a,individual_donor,IGTB1913,5,theta_variance_trace,0.0001593925475046867,1.0,0.0001593925475046867
a,individual_donor,IGTB1913,10,theta_variance_trace,8.345645414390345e-05,1.0,8.345645414390345e-05
a,individual_donor,IGTB1913,25,theta_variance_trace,3.386799892229204e-05,1.0,3.386799892229204e-05
a,individual_donor,IGTB1921,5,theta_variance_trace,0.00016967351425196668,1.0,0.00016967351425196668
a,individual_donor,IGTB1921,10,theta_variance_trace,9.495278070381099e-05,1.0,9.495278070381099e-05
a,individual_donor,IGTB1921,25,theta_variance_trace,3.408314735684874e-05,1.0,3.408314735684874e-05
a,individual_donor,IGTB195,5,theta_variance_trace,0.00024112792936834644,1.0,0.00024112792936834644
a,individual_donor,IGTB195,10,theta_variance_trace,0.00013332321600542389,1.0,0.00013332321600542389
a,individual_donor,IGTB195,25,theta_variance_trace,4.5151737985824606e-05,1.0,4.5151737985824606e-05
a,individual_donor,IGTB1966,5,theta_variance_trace,0.00022285821359858908,1.0,0.00022285821359858908
a,individual_donor,IGTB1966,10,theta_variance_trace,8.737809168699674e-05,1.0,8.737809168699674e-05
a,individual_donor,IGTB1966,25,theta_variance_trace,4.3843949620655575e-05,1.0,4.3843949620655575e-05
a,individual_donor,IGTB256,5,theta_variance_trace,0.0002812194533993667,1.0,0.0002812194533993667
a,individual_donor,IGTB256,10,theta_variance_trace,0.00017906082252123337,1.0,0.00017906082252123337
a,individual_donor,IGTB256,25,theta_variance_trace,6.154899998145653e-05,1.0,6.154899998145653e-05
a,individual_donor,IGTB498,5,theta_variance_trace,0.00026996099288256666,1.0,0.00026996099288256666
a,individual_donor,IGTB498,10,theta_variance_trace,0.00018802592801551773,1.0,0.00018802592801551773
a,individual_donor,IGTB498,25,theta_variance_trace,7.580420922695753e-05,1.0,7.580420922695753e-05
a,individual_donor,IGTB508,5,theta_variance_trace,0.00022569080178511667,1.0,0.00022569080178511667
a,individual_donor,IGTB508,10,theta_variance_trace,9.124729965818947e-05,1.0,9.124729965818947e-05
a,individual_donor,IGTB508,25,theta_variance_trace,3.9930048632395514e-05,1.0,3.9930048632395514e-05
a,individual_donor,IGTB514,5,theta_variance_trace,0.0002733227560987043,1.0,0.0002733227560987043
a,individual_donor,IGTB514,10,theta_variance_trace,0.00015883741484072636,1.0,0.00015883741484072636
a,individual_donor,IGTB514,25,theta_variance_trace,6.350964837426607e-05,1.0,6.350964837426607e-05
a,individual_donor,IGTB826,5,theta_variance_trace,0.00017677628914773333,1.0,0.00017677628914773333
a,individual_donor,IGTB826,10,theta_variance_trace,9.231489333174291e-05,1.0,9.231489333174291e-05
a,individual_donor,IGTB826,25,theta_variance_trace,5.033975020575182e-05,1.0,5.033975020575182e-05
a,equal_donor_mean,all_14,5,theta_variance_trace,0.00023591434352196022,1.0,0.00023591434352196022
a,equal_donor_mean,all_14,10,theta_variance_trace,0.00012906935752061714,1.0,0.00012906935752061714
a,equal_donor_mean,all_14,25,theta_variance_trace,4.817876507318253e-05,1.0,4.817876507318253e-05
b,individual_donor,HC-014,60,sigma_trace_contrast,0.00010413035416628311,1000000.0,104.13035416628311
b,individual_donor,HC-014,120,sigma_trace_contrast,5.561191782065394e-05,1000000.0,55.611917820653936
b,individual_donor,HC-014,300,sigma_trace_contrast,2.5704889719192845e-05,1000000.0,25.704889719192845
b,individual_donor,HC-502,60,sigma_trace_contrast,0.0001080770185918989,1000000.0,108.07701859189889
b,individual_donor,HC-502,120,sigma_trace_contrast,6.0019374819506916e-05,1000000.0,60.019374819506915
b,individual_donor,HC-502,300,sigma_trace_contrast,1.8336663614939607e-05,1000000.0,18.336663614939607
b,individual_donor,HC-572,60,sigma_trace_contrast,0.00011779090731963389,1000000.0,117.79090731963389
b,individual_donor,HC-572,120,sigma_trace_contrast,6.367633751082267e-05,1000000.0,63.67633751082267
b,individual_donor,HC-572,300,sigma_trace_contrast,2.4059225190831712e-05,1000000.0,24.05922519083171
