method,sample_id,budget,balanced_mae_pp,ratio10_mae_pp,I_pp
nnls,36TS,60,31.973380291353166,31.973380291353166,-8.458842092382145e-16
nnls,36TS,300,31.973380291353166,31.973380291353166,1.1278456123176193e-16
nnls,453W,60,38.087250167746475,38.07149749045622,-0.015752677290256853
nnls,453W,300,38.087250167746475,38.087250167746475,-4.229421046191072e-17
nnls,4DUY,60,36.59234709249773,36.59183473027273,-0.0005123622250048312
nnls,4DUY,300,36.59234709249773,36.59234709249773,-3.9474596431116675e-16
nnls,684C,60,37.6049380672528,37.553191808278875,-0.05174625897392348
nnls,684C,300,37.618845690309335,37.61817378024527,-0.0006719100640634842
nnls,925L,60,38.757949980232894,38.72703039315926,-0.030919587073632224
nnls,925L,300,38.76031923894898,38.76031923894898,-5.639228061588096e-17
nnls,9JD4,60,40.800785895262756,40.65802528968711,-0.1427606055756375
nnls,9JD4,300,40.87541861285116,40.81555628011528,-0.059862332735880625
nnls,CR3L,60,40.32166381601996,39.99998923572257,-0.32167458029738744
nnls,CR3L,300,40.287471694263765,40.250499156221274,-0.03697253804249328
nnls,CYFZ,60,40.25864697989069,40.07250645408157,-0.1861405258091226
nnls,CYFZ,300,40.340263387023136,40.28714915551012,-0.053114231513007225
nnls,CZJE,60,37.62232245839853,37.460829998817424,-0.1614924595811086
nnls,CZJE,300,37.69254196885279,37.627993913713816,-0.06454805513897234
nnls,FLWA,60,38.13158597342566,38.11321295053979,-0.018373022885872902
nnls,FLWA,300,38.13275836566579,38.13233267345371,-0.00042569221207105253
nnls,FY2H,60,32.322767755689505,32.322767755689505,7.894919286223335e-16
nnls,FY2H,300,32.322767755689505,32.322767755689505,-2.819614030794048e-16
nnls,G4YW,60,38.20700280180194,38.18502698961033,-0.021975812191608605
nnls,G4YW,300,38.20833020959399,38.20726954276718,-0.0010606668268141341
weighted,36TS,60,27.571515473957145,27.570257644552356,-0.0012578294047902625
weighted,36TS,300,27.559631349052072,27.559631349052072,-1.0009629809318872e-15
weighted,453W,60,34.37231670397175,34.370144249321235,-0.0021724546505151295
weighted,453W,300,34.35832847510202,34.35869372135724,0.0003652462552229414
weighted,4DUY,60,31.819825248568847,31.822323742289374,0.002498493720526711
weighted,4DUY,300,31.819825248568847,31.819825248568844,-2.4953584172527326e-15
weighted,684C,60,32.918793202701345,32.91776752949432,-0.0010256732070318849
weighted,684C,300,32.90407534705174,32.910998439542794,0.006923092491056301
weighted,925L,60,33.224399706313676,33.22051727686433,-0.003882429449352648
weighted,925L,300,33.22051727686433,33.22051727686433,1.6071799975526076e-15
weighted,9JD4,60,36.89809271296613,36.89809271296613,-3.806478941571965e-16
weighted,9JD4,300,36.89809271296613,36.89809271296613,-1.0996494720096789e-15
weighted,CR3L,60,34.783523444519,34.783523444519,-1.1560417526255599e-15
weighted,CR3L,300,34.783523444519,34.783523444519,-5.639228061588096e-17
weighted,CYFZ,60,32.48179335457442,32.48168020225573,-0.0001131523186888416
weighted,CYFZ,300,32.48179335457442,32.48179335457442,2.5376526277146434e-16
weighted,CZJE,60,29.24152770306616,29.24152770306616,-6.273641218516758e-16
weighted,CZJE,300,29.24152770306616,29.24152770306616,2.5376526277146434e-16
weighted,FLWA,60,27.039219925132837,27.039219925132837,6.626092972366014e-16
weighted,FLWA,300,27.039219925132837,27.039219925132837,-7.04903507698512e-18
weighted,FY2H,60,30.92693260273791,30.91772357451408,-0.009209028223830375
weighted,FY2H,300,30.917365601658783,30.918115681179227,0.0007500795204415263
weighted,G4YW,60,28.837112165447515,28.837112165447515,1.7693078043232654e-15
weighted,G4YW,300,28.837112165447515,28.837112165447515,7.0490350769851205e-16
