arm,method,sample_id,mae_pp,direct_mae_pp,change_from_direct_pp
author_tpm,nnls,36TS,31.973380291353163,31.97338029135317,-7.105427357601002e-15
author_tpm,nnls,453W,38.08725016774647,38.08725016774649,-2.1316282072803006e-14
author_tpm,nnls,4DUY,36.59234709249773,36.59234709249773,0.0
author_tpm,nnls,684C,37.11082559088838,37.618845690309335,-0.5080200994209534
author_tpm,nnls,925L,38.690304083604964,38.76031923894898,-0.07001515534401648
author_tpm,nnls,9JD4,40.7098850815522,40.92328087581252,-0.21339579426032174
author_tpm,nnls,CR3L,39.61266748628499,40.488946489683066,-0.876279003398075
author_tpm,nnls,CYFZ,39.87220687646317,40.37518597917023,-0.5029791027070658
author_tpm,nnls,CZJE,37.74072081764389,37.65870580077473,0.08201501686915691
author_tpm,nnls,FLWA,38.13275836566579,38.13275836566579,0.0
author_tpm,nnls,FY2H,32.322767755689505,32.322767755689505,0.0
author_tpm,nnls,G4YW,38.208330209593996,38.208330209593996,0.0
author_tpm,weighted,36TS,27.559631349052072,27.55963134905207,3.552713678800501e-15
author_tpm,weighted,453W,34.35832847510203,34.35832847510202,7.105427357601002e-15
author_tpm,weighted,4DUY,31.819825248568844,31.81982524856885,-7.105427357601002e-15
author_tpm,weighted,684C,32.904075347051744,32.90407534705174,7.105427357601002e-15
author_tpm,weighted,925L,33.22051727686433,33.22051727686432,7.105427357601002e-15
author_tpm,weighted,9JD4,36.89809271296614,36.89809271296614,0.0
author_tpm,weighted,CR3L,34.783523444519,34.783523444519,0.0
author_tpm,weighted,CYFZ,32.481793354574414,32.48179335457442,-7.105427357601002e-15
author_tpm,weighted,CZJE,29.241527703066165,29.241527703066158,7.105427357601002e-15
author_tpm,weighted,FLWA,27.03921992513284,27.039219925132837,3.552713678800501e-15
author_tpm,weighted,FY2H,30.915947926022913,30.915947926022927,-1.4210854715202004e-14
author_tpm,weighted,G4YW,28.837112165447515,28.837112165447515,0.0
direct_counts,nnls,36TS,31.97338029135317,31.97338029135317,0.0
direct_counts,nnls,453W,38.08725016774649,38.08725016774649,0.0
direct_counts,nnls,4DUY,36.59234709249773,36.59234709249773,0.0
direct_counts,nnls,684C,37.618845690309335,37.618845690309335,0.0
direct_counts,nnls,925L,38.76031923894898,38.76031923894898,0.0
direct_counts,nnls,9JD4,40.92328087581252,40.92328087581252,0.0
direct_counts,nnls,CR3L,40.488946489683066,40.488946489683066,0.0
direct_counts,nnls,CYFZ,40.37518597917023,40.37518597917023,0.0
direct_counts,nnls,CZJE,37.65870580077473,37.65870580077473,0.0
direct_counts,nnls,FLWA,38.13275836566579,38.13275836566579,0.0
direct_counts,nnls,FY2H,32.322767755689505,32.322767755689505,0.0
direct_counts,nnls,G4YW,38.208330209593996,38.208330209593996,0.0
direct_counts,weighted,36TS,27.55963134905207,27.55963134905207,0.0
direct_counts,weighted,453W,34.35832847510202,34.35832847510202,0.0
direct_counts,weighted,4DUY,31.81982524856885,31.81982524856885,0.0
direct_counts,weighted,684C,32.90407534705174,32.90407534705174,0.0
direct_counts,weighted,925L,33.22051727686432,33.22051727686432,0.0
direct_counts,weighted,9JD4,36.89809271296614,36.89809271296614,0.0
direct_counts,weighted,CR3L,34.783523444519,34.783523444519,0.0
direct_counts,weighted,CYFZ,32.48179335457442,32.48179335457442,0.0
direct_counts,weighted,CZJE,29.241527703066158,29.241527703066158,0.0
direct_counts,weighted,FLWA,27.039219925132837,27.039219925132837,0.0
direct_counts,weighted,FY2H,30.915947926022927,30.915947926022927,0.0
direct_counts,weighted,G4YW,28.837112165447515,28.837112165447515,0.0
length_scaled,nnls,36TS,31.973380291353163,31.97338029135317,-7.105427357601002e-15
length_scaled,nnls,453W,38.08725016774648,38.08725016774649,-7.105427357601002e-15
length_scaled,nnls,4DUY,36.59234709249773,36.59234709249773,0.0
length_scaled,nnls,684C,37.618845690309335,37.618845690309335,0.0
length_scaled,nnls,925L,38.76031923894898,38.76031923894898,0.0
length_scaled,nnls,9JD4,40.923280875812516,40.92328087581252,-7.105427357601002e-15
length_scaled,nnls,CR3L,40.92470232341267,40.488946489683066,0.43575583372960125
length_scaled,nnls,CYFZ,40.44720072826582,40.37518597917023,0.0720147490955867
length_scaled,nnls,CZJE,37.74072081764389,37.65870580077473,0.08201501686915691
length_scaled,nnls,FLWA,38.13275836566579,38.13275836566579,0.0
length_scaled,nnls,FY2H,32.322767755689505,32.322767755689505,0.0
length_scaled,nnls,G4YW,38.20833020959399,38.208330209593996,-7.105427357601002e-15
length_scaled,weighted,36TS,27.559631349052072,27.55963134905207,3.552713678800501e-15
length_scaled,weighted,453W,34.35832847510202,34.35832847510202,0.0
length_scaled,weighted,4DUY,31.819825248568854,31.81982524856885,3.552713678800501e-15
length_scaled,weighted,684C,32.90407534705174,32.90407534705174,0.0
length_scaled,weighted,925L,33.22051727686433,33.22051727686432,7.105427357601002e-15
length_scaled,weighted,9JD4,36.898092712966125,36.89809271296614,-1.4210854715202004e-14
length_scaled,weighted,CR3L,34.783523444519,34.783523444519,0.0
length_scaled,weighted,CYFZ,32.48179335457442,32.48179335457442,0.0
length_scaled,weighted,CZJE,29.429299820128886,29.241527703066158,0.18777211706272823
length_scaled,weighted,FLWA,27.03921992513284,27.039219925132837,3.552713678800501e-15
length_scaled,weighted,FY2H,31.01643505671339,30.915947926022927,0.100487130690464
length_scaled,weighted,G4YW,29.649987529899214,28.837112165447515,0.8128753644516991
